0,1118,1273,1168,1215,1318,1508,1971,1212
2173,0,2750,1970,1974,1986,2006,2398,2026
2404,1453,0,1463,1408,1722,1665,2101,1443
2087,1876,2758,0,14,1936,2,2275,2023
2387,2064,2680,4080,0,2118,2454,2686,2004
2067,1759,2012,1801,1719,0,2003,2117,1790
2110,1792,2583,4095,1882,1856,0,2390,1976
1523,1243,1611,1527,1164,1322,1534,0,1311
2672,1987,2991,2134,1917,2212,2123,2827,0
