231,789,202,0,578,500,482,225,606
196,725,159,661,433,426,353,235,463
179,587,134,598,454,455,385,209,615
201,717,143,594,500,404,352,242,442
214,618,131,658,374,496,334,233,552
204,694,134,666,466,453,398,163,453
195,628,133,593,395,514,348,237,612
203,690,168,535,380,423,378,205,608
189,687,142,508,397,444,408,205,630
191,653,132,597,490,434,333,267,499
222,476,355,472,588,324,360,207,530
342,562,354,578,30,397,373,388,555
297,544,328,523,443,380,316,223,457
290,516,327,466,482,373,321,271,553
413,450,296,483,434,427,336,243,430
385,475,319,538,481,338,302,238,461
299,417,262,454,652,386,360,290,423
286,539,343,520,400,318,267,355,564
218,569,381,559,343,452,316,232,494
298,440,298,455,483,403,380,290,432
184,640,87,518,335,364,299,117,469
166,521,86,606,280,403,304,117,468
161,541,97,509,318,392,284,102,565
163,588,87,496,308,412,292,119,568
162,572,92,559,285,427,374,118,423
157,628,93,572,308,363,266,116,473
160,663,76,502,283,378,300,130,483
159,626,89,597,308,362,219,134,467
165,623,101,556,347,409,255,118,422
158,655,81,503,314,331,356,127,493
162,601,180,502,639,345,680,262,454
212,639,151,459,368,488,531,364,559
209,567,126,553,594,406,507,306,485
163,611,139,481,356,491,565,344,611
149,653,169,567,333,420,651,341,430
185,588,157,622,353,448,626,262,524
159,645,174,473,612,495,489,260,416
164,609,147,531,436,492,582,349,469
154,545,113,445,545,463,685,266,648
163,611,132,545,530,435,704,284,475
32,565,285,458,400,481,539,231,438
45,563,243,457,327,458,541,271,496
57,558,255,455,398,416,611,264,443
29,495,247,454,405,461,565,273,481
31,491,250,455,426,453,576,264,423
25,473,265,456,394,441,636,262,468
27,531,269,462,425,433,649,256,416
13,577,284,586,287,452,531,254,470
