223,374,153,0,627,655,504,252,702
219,349,118,746,461,508,356,230,591
226,365,139,687,400,523,410,190,668
191,362,154,613,536,536,333,184,631
191,365,181,707,433,512,396,244,544
227,370,135,625,510,522,394,210,594
192,371,108,585,465,550,515,238,607
187,349,179,715,396,473,451,238,582
203,381,171,683,575,538,349,165,529
196,360,123,685,483,558,381,232,540
247,511,321,534,429,420,325,214,500
309,515,290,440,371,368,351,370,527
335,564,330,569,475,334,275,238,455
319,484,301,459,556,405,287,252,517
435,485,308,511,430,373,313,258,453
411,511,331,545,349,378,314,305,425
310,481,316,457,514,366,351,336,355
335,524,295,484,458,371,328,290,459
256,526,348,570,388,390,378,234,448
322,457,346,440,467,423,356,268,481
166,250,90,623,400,436,338,114,494
181,245,82,615,365,379,374,127,576
168,270,88,505,336,444,356,122,655
158,267,98,646,370,435,331,104,536
157,282,79,639,275,425,389,119,617
177,312,96,691,357,405,267,118,555
157,242,83,647,286,466,424,129,515
169,291,91,543,447,406,278,133,495
157,326,116,638,422,432,274,118,461
163,270,105,586,392,387,317,139,550
189,569,147,598,513,419,536,257,567
220,570,130,494,501,464,640,248,529
241,601,133,488,448,444,514,321,547
140,617,118,496,487,415,606,330,546
134,652,190,532,344,466,535,326,502
159,723,156,589,295,374,684,265,568
133,657,151,589,571,457,507,274,451
193,605,168,628,344,455,497,321,492
185,590,125,485,614,386,618,319,458
182,559,169,427,465,440,626,316,622
15,467,262,493,612,439,490,260,418
33,508,286,494,341,459,574,262,454
47,511,258,520,344,418,644,275,443
22,567,243,535,335,473,544,258,454
19,474,250,473,363,429,639,281,533
13,510,253,450,379,454,606,265,415
17,526,257,471,334,447,654,261,455
25,533,280,457,359,426,668,287,408
11,563,248,533,300,426,575,267,503
7,476,236,483,369,496,596,263,518
